"","pairs","Winner","varfd","varty","vartur","varrushes","varrushyd","varrushtd","varpasscom","varpassatt","varpasstd","varpassint","vartotfum","varfumlost","varpenalties","varpenyds"
"1",1,"clemson",0.638297872340426,0.304396843291996,2,0.210526315789474,0.833333333333333,0.4,0.88,0.561797752808989,1,NA,0.666666666666667,2,1,0.803418803418803
"2",2,"wisconsin",0,0.255451713395639,2,0.202898550724638,0.397394136807818,0.666666666666667,0.206896551724138,0.666666666666667,0,2,1,NA,0.857142857142857,0.8
"3",3,"florida",0.24,0.377019748653501,0.4,0.246575342465753,0.442857142857143,NA,0.666666666666667,0.0408163265306122,2,0.4,0,NA,1.55555555555556,1.42857142857143
"4",4,"southern-california",0.357142857142857,0.211538461538462,1,0.0298507462686567,0.534534534534535,1,0.588235294117647,0.602409638554217,0.222222222222222,1,2,NA,0.666666666666667,0.266666666666667
"5",5,"oklahoma",0.24,0.428736964078795,2,0.0674157303370786,0.208232445520581,1,0.375,0.0363636363636364,0.666666666666667,2,2,NA,0.5,0.45398773006135
"6",6,"louisiana-state",0.580645161290323,0.566775244299674,0,0.157894736842105,0.901639344262295,2,0.461538461538462,0.0714285714285714,2,2,2,2,0.666666666666667,0.153846153846154
"7",7,"clemson",0.909090909090909,0.744525547445255,0.4,0.704225352112676,0.798634812286689,2,0.232558139534884,0.114285714285714,2,0,2,2,0.461538461538462,0.181818181818182
"8",8,"alabama",0.133333333333333,0.507692307692308,2,0.531645569620253,1.43769968051118,2,0.962962962962963,0.923076923076923,2,2,0.666666666666667,2,1.14285714285714,1.47368421052632
"9",9,"georgia-tech",0.0487804878048781,0.135251798561151,2,0.344827586206897,0.563855421686747,0.666666666666667,1.04,0.833333333333333,2,NA,0.666666666666667,2,0.285714285714286,0.192592592592593
"10",10,"air-force",0.594594594594595,0.388674388674389,2,0.962962962962963,1.16307692307692,0.666666666666667,0.352941176470588,0.888888888888889,0,2,0.666666666666667,2,0.571428571428571,0.958333333333333
"11",11,"georgia",0,0.255434782608696,0.666666666666667,0.0740740740740741,0.356807511737089,0.666666666666667,0.4,0.285714285714286,0,NA,0,0.666666666666667,1.11111111111111,1.27272727272727
"12",12,"tennessee",0.325581395348837,0.483909415971395,0,0.303030303030303,1.16151202749141,1.2,0.19047619047619,0.1,0.666666666666667,NA,1,0,0.153846153846154,0.452830188679245
"13",13,"florida-state",0.0645161290322581,0.382022471910112,0.666666666666667,0.028169014084507,0.504201680672269,0.666666666666667,0.8,0.338461538461538,0.666666666666667,0,2,2,0.545454545454545,0.549019607843137
"14",14,"stanford",0.476190476190476,0.337738619676946,2,0.15,0.0890688259109312,2,0.875,0.736842105263158,0.666666666666667,2,2,2,0.526315789473684,0.518518518518518
"15",15,"oklahoma-state",0.285714285714286,0.494674556213018,2,0.342857142857143,1.01195219123506,0.666666666666667,0.0444444444444444,0.140845070422535,2,2,2,NA,0,0.181818181818182
"16",16,"virginia-tech",0.476190476190476,0.272352132049519,0.666666666666667,0.186666666666667,1.30097087378641,1,0.153846153846154,0.0923076923076923,0,1,0.666666666666667,0,1,0.24
"17",17,"south-florida",0.117647058823529,0.0252631578947368,0.857142857142857,0.341463414634146,0.782608695652174,0.4,0.327272727272727,0.293333333333333,0.4,0.666666666666667,0.285714285714286,1,0.5,0.352941176470588
"18",18,"utah",0.0465116279069767,0.318125770653514,0.285714285714286,0.337078651685393,0.745308310991957,0.666666666666667,0.222222222222222,0.5,2,0,0.666666666666667,0.4,0.769230769230769,1.12727272727273
"19",19,"northwestern",0.4,0.0533333333333333,0.666666666666667,0.439024390243902,0.378896882494005,1,0.358974358974359,0.215384615384615,0.666666666666667,1,0.666666666666667,0,0.222222222222222,0.352941176470588
"20",20,"kansas-state",0.380952380952381,0.0945790080738178,2,0.376811594202899,0.408839779005525,1,0.727272727272727,0.823529411764706,1,2,2,2,0.4,0.0645161290322581
"21",21,"baylor",0.148148148148148,0.281284606866002,1,0.123456790123457,0.511210762331839,2,0.0983606557377049,0.241758241758242,1,0.666666666666667,2,2,1.14285714285714,1.57142857142857
"22",22,"army",0.146341463414634,0.26271186440678,0.666666666666667,0.92,1.33448873483536,1.42857142857143,1.72413793103448,1.63636363636364,2,2,0,2,0.4,0.315789473684211
"23",23,"minnesota",0.0606060606060606,0.0824742268041237,0,0.5625,1.17460317460317,2,0.926829268292683,0.873239436619718,0,2,2,2,0.352941176470588,0.148760330578512
"24",24,"wake-forest",0.0465116279069767,0.021505376344086,0,0.606060606060606,1.44827586206897,2,0.666666666666667,0.512820512820513,0,0.666666666666667,0.4,2,0.545454545454545,0.640776699029126
"25",25,"north-carolina-state",0.153846153846154,0.179710144927536,1,0.028169014084507,0.101010101010101,0.666666666666667,0,0.38961038961039,2,2,0,2,1.2,1.55555555555556
"26",26,"boston-college",0.125,0.025531914893617,0.666666666666667,0.418604651162791,0.321311475409836,0.666666666666667,0.307692307692308,0.413793103448276,0.4,0,0.222222222222222,1,0.588235294117647,0.606060606060606
"27",27,"mississippi-state",0.341463414634146,0.255208333333333,2,0.0588235294117647,0.157181571815718,2,0.514285714285714,0.137931034482759,2,2,2,2,0.4,0.181818181818182
"28",28,"hawaii",0.468085106382979,0.0806142034548944,2,0.584615384615385,0.603174603174603,0.666666666666667,0.352941176470588,0.48780487804878,0,2,2,2,0.2,0.235294117647059
"29",29,"louisiana-tech",0.214285714285714,0.0794979079497908,0,0.390243902439024,1.09278350515464,0.857142857142857,1.22222222222222,1.07692307692308,1.2,NA,0,0,0.4,0.333333333333333
"30",30,"old-dominion",0.333333333333333,0.175925925925926,0,0.025974025974026,0.191489361702128,NA,0.810810810810811,0.805970149253731,0.4,0,2,NA,0.5,1.25
"31",31,"troy",0.3,0.198601398601399,0.857142857142857,0.0327868852459016,0.109090909090909,2,0.0425531914893617,0.136363636363636,0.666666666666667,0.666666666666667,0,2,0.181818181818182,0.926829268292683
"32",32,"idaho",0.181818181818182,0.00995024875621891,2,0.518518518518518,0.368421052631579,0.857142857142857,0,0.149253731343284,0.222222222222222,2,0.666666666666667,2,0.352941176470588,0.285714285714286
"33",33,"brigham-young",0.514285714285714,0.229787234042553,0,0.25,0.149253731343284,0.666666666666667,0.72,0.75,0.666666666666667,0.666666666666667,0,2,0.333333333333333,0.0655737704918033
"34",34,"western-kentucky",0.0363636363636364,0.196510560146924,1,0.4,1.12835820895522,2,0.297872340425532,0.481012658227848,0.285714285714286,0,0.666666666666667,2,0.461538461538462,0.452554744525547
"35",35,"tulsa",0.566037735849057,0.482905982905983,2,0.705882352941177,1.03488372093023,0,0.148148148148148,0.247191011235955,2,2,NA,NA,0.5,0.461538461538462
"36",36,"arkansas-state",0.72,0.0481400437636762,1,0.235294117647059,0.829268292682927,NA,0.736842105263158,0.594594594594595,1,NA,0,1,0.307692307692308,0.522522522522523
"37",37,"appalachian-state",0.564102564102564,0.122961104140527,NA,0.506666666666667,0.821345707656613,0,0.25,0.23728813559322,0.666666666666667,NA,NA,NA,1.11111111111111,0.987951807228916
"38",38,"san-diego-state",0.206896551724138,0.00392927308447937,2,0.102564102564103,1.34210526315789,0.666666666666667,0.857142857142857,0.833333333333333,2,2,NA,NA,0.4,0.857142857142857
"39",39,"new-mexico",0.162162162162162,0.206060606060606,2,0.311111111111111,0.116129032258065,2,1.07692307692308,1.25,2,2,2,NA,1.2,0.666666666666667
"40",40,"alabama",0.530612244897959,0.150537634408602,2,0.19047619047619,0.049469964664311,1,0.608695652173913,0.611111111111111,0.666666666666667,2,2,NA,0.666666666666667,0.25
"41",41,"texas-christian",0.25,0.261410788381743,0,0.0210526315789474,0.0666666666666667,0.285714285714286,0.4,0.292682926829268,0.666666666666667,2,0,2,0.461538461538462,1.10280373831776
"42",42,"west-virginia",0.230769230769231,0.260869565217391,2,0.0307692307692308,0.341463414634146,NA,0.0350877192982456,0.0194174757281553,0.222222222222222,2,0,NA,0.181818181818182,0.181818181818182
"43",43,"arkansas",0.790697674418605,0.806411837237978,0,0.625,1.05105105105105,1.33333333333333,0.5,0.0392156862745098,0,0,2,NA,0.666666666666667,0.222222222222222
"44",44,"georgia",0.0606060606060606,0.203296703296703,2,0.246575342465753,0.321678321678322,2,0.588235294117647,0.584615384615385,0,2,0,NA,0.181818181818182,0.142857142857143
"45",45,"michigan",0.666666666666667,0.592783505154639,2,0.520547945205479,0.623906705539359,2,0.666666666666667,0.214285714285714,1,2,2,NA,0.545454545454545,0.75
"46",46,"ohio-state",0.117647058823529,0.201997780244173,0.666666666666667,0.511627906976744,0.807881773399015,0.666666666666667,0.146341463414634,0.202898550724638,0.666666666666667,0,0,2,0.285714285714286,0.769230769230769
"47",47,"tennessee",0.285714285714286,0.466960352422908,2,0.355555555555556,0.525139664804469,1.33333333333333,0.133333333333333,0.0952380952380952,NA,2,2,NA,0.909090909090909,0.88
"48",48,"stanford",0.0540540540540541,0.396648044692737,0.666666666666667,0.111111111111111,1.24409448818898,2,0.545454545454545,0.444444444444444,0.4,0,2,2,0.352941176470588,0.333333333333333
"49",49,"mississippi",0.333333333333333,0.408695652173913,0,0.208955223880597,1.06666666666667,0,0.204081632653061,0.25,2,2,0.666666666666667,2,0.333333333333333,0.0263157894736842
"50",50,"alabama",0.27027027027027,0.592047128129602,2,0.295081967213115,1.36612021857923,2,0.272727272727273,0.228571428571429,2,2,0,NA,0,0.705882352941177
"51",51,"clemson",0.222222222222222,0.334801762114537,0.666666666666667,0.549450549450549,1.29287598944591,1,0.418604651162791,0.293333333333333,0,0.666666666666667,2,NA,0,0.476190476190476
"52",52,"houston",0.454545454545455,0.0813008130081301,1.33333333333333,0.789473684210526,1.68472906403941,1,0.196078431372549,0.0425531914893617,0,1.2,2,2,0.4,0.75
"53",53,"mississippi-state",0.260869565217391,0.292044310171198,0.666666666666667,0.372093023255814,0.105263157894737,0,0.702702702702703,0.4,1.2,0.666666666666667,1,NA,0.222222222222222,0.0952380952380952
"54",54,"auburn",0.555555555555556,0.649093904448105,1,0.574712643678161,0.871794871794872,2,0.461538461538462,0.792452830188679,2,1,2,NA,0.666666666666667,0.117647058823529
"55",55,"wisconsin",0.315789473684211,0.317647058823529,2,0.486486486486487,0.925619834710744,0.666666666666667,0,0.129032258064516,0,2,NA,NA,0.181818181818182,0.468085106382979
"56",56,"louisville",0.173913043478261,0.181818181818182,2,0.164705882352941,0.759550561797753,0.666666666666667,0.8,0.594594594594595,0,2,0.666666666666667,2,0.105263157894737,0.0571428571428571
"57",57,"nevada",0.5,0.426453819840365,2,0.0487804878048781,0.198782961460446,0,1.14285714285714,1.05454545454545,NA,NA,2,2,0.8,1.05882352941176
"58",58,"california",0.16,0.298039215686275,1,0.436781609195402,0.821782178217822,1,1.125,0.846153846153846,1,2,1,0.666666666666667,0.222222222222222,0.473684210526316
"59",59,"baylor",0.303030303030303,0.44035228182546,0.666666666666667,0.779661016949153,0.909497206703911,1.11111111111111,0.75,0.666666666666667,2,0,0.666666666666667,2,0.75,1.09933774834437
"60",60,"louisiana-state",0.0444444444444444,0.460945033751205,0,0.4,1.71428571428571,2,0.666666666666667,0.835443037974684,1.2,0,2,NA,0.4,0.18705035971223
"61",61,"navy",0.583333333333333,0.551351351351351,1,1.08695652173913,0.712195121951219,1.33333333333333,0.260869565217391,0.153846153846154,0,2,2,2,0.666666666666667,1
"62",62,"minnesota",0.210526315789474,0.419047619047619,0,0.328358208955224,0.412213740458015,0.666666666666667,0.461538461538462,0,2,0,NA,NA,1,1.33333333333333
"63",63,"nebraska",0.583333333333333,0.257336343115124,0.666666666666667,1.17948717948718,1.31806615776081,1.2,0.736842105263158,0.733333333333333,1,2,0.666666666666667,2,0.153846153846154,0.382978723404255
"64",64,"washington",0.204081632653061,0.429319371727749,2,0.378378378378378,1.72327044025157,0.857142857142857,0.122448979591837,0.136986301369863,2,NA,0.666666666666667,2,0.222222222222222,0.105263157894737
"65",65,"virginia-tech",0.105263157894737,0.0602928509905254,2,0.0975609756097561,0.293453724604966,0.222222222222222,0.16,0.146341463414634,1,2,0,2,0.181818181818182,0.0952380952380952
"66",66,"duke",0.357142857142857,0.217788861180382,0,0.021505376344086,0.291858678955453,0.4,0.488888888888889,0.260869565217391,1,0.4,2,2,0.333333333333333,0.121739130434783
"67",67,"marshall",0.461538461538462,0.584717607973422,0,0.216216216216216,0.295302013422819,2,0.787878787878788,0.716981132075472,2,0,NA,NA,0.285714285714286,0.571428571428571
"68",68,"washington-state",0.555555555555556,0.104683195592287,1,0.181818181818182,0.358490566037736,2,0.521739130434783,0.494117647058824,0.666666666666667,2,0,0,0.571428571428571,0.5
"69",69,"western-michigan",0,0.324170616113744,0.666666666666667,0.447761194029851,0.841309823677582,1.2,0.311111111111111,0.363636363636364,0.4,0,0.666666666666667,2,0.571428571428571,0.431372549019608
"70",70,"san-diego-state",0.378378378378378,0.185365853658537,2,0.476190476190476,0.915492957746479,0.666666666666667,0.714285714285714,0.883720930232558,2,2,NA,NA,0.857142857142857,1.12056737588652
"71",71,"georgia-southern",0.536585365853659,0.383928571428571,2,0.804123711340206,1.1830985915493,1.5,1.15789473684211,1.23809523809524,1,NA,0,2,0.333333333333333,0.269230769230769
"72",72,"boise-state",1.33333333333333,1.80786026200873,0.4,0.604651162790698,1.9290780141844,2,1.22222222222222,0.622950819672131,2,2,1,1,0.461538461538462,0.736842105263158
"73",73,"toledo",0.153846153846154,0.25974025974026,2,0,0.409638554216867,0.666666666666667,0.13953488372093,0.366197183098592,2,2,0,NA,0.769230769230769,0.709677419354839
"74",74,"akron",0.256410256410256,0.264615384615385,1,0.366197183098592,0.268398268398268,2,0.604651162790698,0.4,1,0,2,2,0.461538461538462,0.553191489361702
"75",75,"western-kentucky",0.0363636363636364,0.0248138957816377,2,0.307692307692308,0.630385487528345,0,0.723404255319149,0.3,0.4,2,2,NA,0,0.0150375939849624
"76",76,"san-jose-state",0.580645161290323,0.212765957446809,0,0.918918918918919,1.58181818181818,2,0.333333333333333,0.416666666666667,0.666666666666667,0,0.4,NA,0.181818181818182,0.413223140495868
"77",77,"appalachian-state",0.461538461538462,0.443490701001431,0,0.305882352941176,0.95609756097561,0.666666666666667,0.142857142857143,0.109090909090909,2,0.666666666666667,0,0.666666666666667,0.25,0.0606060606060606
"78",78,"utah",0.444444444444444,0.648370497427101,2,0.611111111111111,0.558375634517767,0.4,0.941176470588235,1.11111111111111,2,2,2,2,0.153846153846154,0.338461538461538
"79",79,"arizona",0.272727272727273,0.00989119683481701,0.4,0.732673267326733,0.588235294117647,0,0.260869565217391,0.0869565217391304,0.666666666666667,1,0,2,0.666666666666667,1.09774436090226
"80",80,"louisiana-tech",0.122448979591837,0.720792079207921,2,0.08,0.25615763546798,0,0.536585365853659,0.26865671641791,2,2,1,2,0.166666666666667,0.342205323193916
"81",81,"ohio-state",0.333333333333333,0.145563310069791,1.2,0.595744680851064,0.766355140186916,2,0.4,0.491803278688525,0.666666666666667,0,1,2,0.666666666666667,0.867924528301887
"82",82,"toledo",0.4,0.144697720515362,0.666666666666667,0.494117647058824,1.3953488372093,2,0.0909090909090909,0.137931034482759,2,2,0,2,0,0.0930232558139535
"83",83,"florida",0.723404255319149,0.450285714285714,0,0.263157894736842,0.425992779783394,2,0.893617021276596,0.833333333333333,0,0.666666666666667,0,0.666666666666667,0.181818181818182,0.133333333333333
"84",84,"oklahoma-state",0,0.247030878859857,0,0.648648648648649,0.403162055335968,0,0.325581395348837,0.388059701492537,0.666666666666667,0,0,0,0,0.333333333333333
"85",85,"ucla",0.511627906976744,0.23444976076555,0.666666666666667,0.197183098591549,1.65745856353591,0.666666666666667,0.883720930232558,0.684931506849315,0.666666666666667,2,0,0,0.857142857142857,1.06586826347305
"86",86,"tennessee",0.16,0.090702947845805,0.666666666666667,0.372093023255814,0.148007590132827,0.666666666666667,0.125,0.339622641509434,0,0,2,2,0,0.391304347826087
"87",87,"houston",0.196078431372549,0.079144385026738,NA,0.0246913580246914,0.0683371298405467,0.4,0.181818181818182,0.360655737704918,1,NA,NA,NA,0.571428571428571,0.777777777777778
"88",88,"ohio-state",0.0909090909090909,0.275423728813559,0.4,0.210526315789474,0.492239467849224,0.4,0.146341463414634,0,0,1,2,2,0,0.4
"89",89,"oregon",0.0689655172413793,0.190231362467866,0.857142857142857,0.142857142857143,0.503118503118503,1.33333333333333,0.109090909090909,0.285714285714286,0.666666666666667,0,1.11111111111111,1.2,0,0.0408163265306122
"90",90,"missouri",0.0540540540540541,0.151177199504337,0.4,0.307692307692308,1.04288939051919,0.666666666666667,0.588235294117647,0.538461538461538,0.666666666666667,2,2,2,1,1
"91",91,"michigan-state",0.148148148148148,0.054625550660793,0.666666666666667,0.705882352941177,1.68992248062015,1.2,0.426229508196721,0.212765957446809,0.666666666666667,0.666666666666667,0,NA,0.444444444444444,0.333333333333333
"92",92,"wisconsin",0.384615384615385,0.179916317991632,2,0.22680412371134,0.584814216478191,0.4,0.133333333333333,0.16,0.666666666666667,2,NA,NA,1,0.912621359223301
"93",93,"georgia-tech",0.23728813559322,0.0473773265651438,0.666666666666667,0.595744680851064,0.993377483443709,1.42857142857143,1.3,1.23809523809524,1,0,0,2,0.5,0.117647058823529
"94",94,"boise-state",0.274509803921569,0.043613707165109,0,0.488888888888889,0.0313479623824451,0.4,0.153846153846154,0.352941176470588,0,0.666666666666667,2,2,0,0.267716535433071
"95",95,"texas-christian",0.823529411764706,1.06521739130435,0,0.126582278481013,1.80645161290323,2,0.842105263157895,0.3125,2,0,0,0,0.181818181818182,0.222222222222222
"96",96,"stanford",0.588235294117647,0.60377358490566,0,0.5,1.69506726457399,0.666666666666667,0.181818181818182,0.0377358490566038,2,2,0,2,0.857142857142857,1.39130434782609
"97",97,"georgia",0.0952380952380952,0.292849035187287,0.4,0.632911392405063,1.32425068119891,1,0.4,0.588235294117647,0,1,2,2,0.545454545454545,0.315789473684211
"98",98,"notre-dame",0.3,0.0293785310734463,2,0.292134831460674,0.0802919708029197,0.4,0.88,0.6,0,NA,0,2,0,0.727272727272727
"99",99,"arkansas",0.962962962962963,1.42439024390244,2,0.941176470588235,1.95854922279793,0,0.08,0.0833333333333333,2,2,0.666666666666667,2,0.857142857142857,0.775510204081633
"100",100,"clemson",0.256410256410256,0.338368580060423,2,0.301369863013699,0.866666666666667,0,0.418604651162791,0,2,2,0.666666666666667,2,0.666666666666667,1.2
"101",101,"texas-a&m",0.285714285714286,0.113886113886114,0,0.4,0.60387811634349,2,0.0952380952380952,0.25,0.285714285714286,2,0,2,0.133333333333333,0.775510204081633
"102",102,"southern-california",0.24,0.0192307692307692,0,0.233766233766234,0.29585798816568,0,0.327272727272727,0.266666666666667,0,0,2,NA,0.526315789473684,0.732394366197183
"103",103,"penn-state",0.439024390243902,0.159713945172825,2,0.453333333333333,1.11590296495957,2,1.02222222222222,0.857142857142857,0.666666666666667,NA,2,2,0.105263157894737,0.471337579617834
"104",104,"south-carolina",0.27027027027027,0.175257731958763,2,0.285714285714286,1.02439024390244,0,0.146341463414634,0.0298507462686567,0.666666666666667,2,0.666666666666667,2,0,0.415841584158416
"105",105,"arizona-state",0.0465116279069767,0.0202020202020202,2,0.227848101265823,0.082018927444795,2,0.341463414634146,0.0298507462686567,0.4,2,0.666666666666667,2,0.666666666666667,1.11111111111111
"106",106,"virginia-tech",0.0540540540540541,0.376670716889429,1,0.285714285714286,0.372881355932203,2,0.181818181818182,0.387096774193548,0.666666666666667,0.666666666666667,0.666666666666667,2,0.545454545454545,0.703703703703704
"107",107,"north-carolina-state",0.212765957446809,0.265116279069767,0,0.545454545454545,0.780669144981413,2,0.3,0.617283950617284,0.4,2,2,2,0.666666666666667,0.125
"108",108,"rutgers",0.0833333333333333,0.0834990059642147,2,0.0487804878048781,0.432915921288014,1,1.1219512195122,0.787878787878788,0,NA,2,2,0.666666666666667,0.947368421052632
"109",109,"louisiana-tech",0.476190476190476,0.221674876847291,0.666666666666667,0.0625,0.0677966101694915,1,0.666666666666667,0.506666666666667,0,2,0,0,0.4,0.407079646017699
