"","Name","PassTD","Pct","TurnGain","RushYds","RushTD","rankscore"
"1","Air Force",10,0.417,10,3689,38,1163.53842
"2","Akron",24,0.538,27,1406,14,593.54312
"3","Alabama",23,0.917,20,3184,36,2233.61026
"4","Appalachian St.",28,0.667,22,2580,23,1321.36702
"5","Arizona",14,0.583,24,3893,48,1730.84538
"6","Arizona St.",18,0.583,16,2159,26,966.5557
"7","Arkansas",18,0.333,17,2016,24,516.4164
"8","Arkansas St.",35,0.636,21,1727,16,857.2008
"9","Army West Point",2,0.75,13,4270,45,2417.355
"10","Auburn",20,0.769,18,2966,32,1742.0926
"11","Ball St.",11,0.167,12,1906,15,241.86944
"12","Baylor",23,0.083,11,1407,10,89.96536
"13","Boise St.",24,0.769,22,1897,23,1131.87572
"14","Boston College",15,0.583,25,2690,23,1196.899
"15","Bowling Green",21,0.167,24,1820,13,234.28764
"16","Buffalo",24,0.5,14,1693,18,654.03
"17","BYU",13,0.308,17,1697,12,399.42672
"18","California",19,0.417,24,1507,17,489.48294
"19","Central Mich.",26,0.667,31,1725,18,899.95642
"20","Charlotte",10,0.083,11,1995,13,125.33996
"21","Cincinnati",20,0.333,11,1624,11,413.84574
"22","Clemson",17,0.923,19,2653,40,1883.54764
"23","Colorado",19,0.417,14,1886,17,602.59836
"24","Colorado St.",27,0.583,16,2533,24,1131.55636
"25","Duke",14,0.5,19,2015,19,771.32
"26","East Carolina",26,0.25,11,1292,10,250.41
"27","Eastern Mich.",21,0.417,18,1555,14,501.4008
"28","FIU",19,0.667,17,1981,20,1014.80048
"29","Fla. Atlantic",19,0.769,26,3682,47,2167.16504
"30","Florida",10,0.364,17,1720,15,478.41976
"31","Florida St.",17,0.5,14,1810,17,693.48
"32","Fresno St.",19,0.692,19,2039,20,1083.8104
"33","Ga. Southern",8,0.167,20,2668,19,337.53038
"34","Georgia",21,0.923,18,3426,36,2410.08222
"35","Georgia St.",14,0.545,14,1265,10,530.3613
"36","Georgia Tech",10,0.455,10,3381,30,1161.8607
"37","Hawaii",19,0.25,15,2018,15,385.37
"38","Houston",15,0.636,19,1930,24,945.21048
"39","Idaho",21,0.333,18,1495,10,384.1488
"40","Illinois",8,0.167,19,1267,11,162.77156
"41","Indiana",25,0.417,13,1561,11,501.5259
"42","Iowa",26,0.583,23,1709,15,773.50108
"43","Iowa St.",25,0.583,20,1438,15,654.42916
"44","Kansas",14,0.083,9,1231,11,78.39184
"45","Kansas St.",15,0.583,22,2240,25,1002.43352
"46","Kent St.",8,0.167,19,1830,10,232.1634
"47","Kentucky",10,0.583,18,2037,24,909.32842
"48","La.-Monroe",22,0.333,14,2044,27,524.74806
"49","Louisiana",16,0.417,15,2204,27,704.5215
"50","Louisiana Tech",14,0.5,22,2101,21,805.62
"51","Louisville",27,0.667,20,2999,32,1532.92608
"52","LSU",15,0.75,16,2529,25,1445.835
"53","Marshall",23,0.583,15,1584,12,711.71474
"54","Maryland",15,0.333,16,1940,19,494.61156
"55","Massachusetts",26,0.333,20,1624,19,421.4115
"56","Memphis",37,0.833,30,2509,33,1628.79822
"57","Miami (FL)",25,0.833,30,1916,17,1239.20412
"58","Miami (OH)",24,0.417,17,1751,12,561.75738
"59","Michigan",9,0.667,14,2236,25,1136.22116
"60","Michigan St.",17,0.75,21,1955,15,1123.875
"61","Middle Tenn.",21,0.5,8,1730,13,660.8
"62","Minnesota",9,0.417,18,2189,20,695.08896
"63","Mississippi St.",17,0.667,17,2995,26,1518.43884
"64","Missouri",43,0.583,17,2395,15,1075.55338
"65","Navy",10,0.5,13,4116,35,1552.85
"66","NC State",16,0.667,17,2129,29,1092.57268
"67","Nebraska",23,0.333,12,1290,13,333.51948
"68","Nevada",30,0.25,19,1526,12,297.03
"69","New Mexico",8,0.25,13,2825,21,533.27
"70","New Mexico St.",28,0.5,25,1214,17,483.19
"71","North Carolina",21,0.25,16,1730,17,333.34
"72","North Texas",29,0.692,14,2288,28,1220.72952
"73","Northern Ill.",24,0.667,21,2247,17,1149.48112
"74","Northwestern",17,0.75,23,1931,28,1122.66
"75","Notre Dame",18,0.75,20,3349,35,1914.06
"76","Ohio",18,0.667,17,2930,40,1497.25492
"77","Ohio St.",39,0.846,20,3242,32,2105.98164
"78","Oklahoma",44,0.923,17,2807,31,2001.32244
"79","Oklahoma St.",35,0.75,22,2200,33,1288.08
"80","Old Dominion",9,0.417,16,1967,17,624.44082
"81","Ole Miss",28,0.5,13,1607,19,624.18
"82","Oregon",16,0.583,22,3216,40,1433.66696
"83","Oregon St.",11,0.083,14,1650,18,104.91366
"84","Penn St.",30,0.833,24,2009,33,1310.50892
"85","Pittsburgh",12,0.417,16,1782,21,570.36426
"86","Purdue",23,0.5,19,1811,11,695.67
"87","Rice",6,0.083,6,2244,20,140.57876
"88","Rutgers",7,0.333,15,1765,19,448.67754
"89","San Diego St.",13,0.833,19,3027,29,1917.21614
"90","San Jose St.",15,0.154,16,1561,6,183.34624
"91","SMU",34,0.583,23,2230,26,1009.70936
"92","South Alabama",15,0.333,20,1167,10,302.05764
"93","South Carolina",16,0.667,23,1527,15,788.84756
"94","South Fla.",21,0.818,22,2919,29,1825.72692
"95","Southern California",26,0.846,24,2534,28,1651.79808
"96","Southern Miss.",23,0.667,18,2268,18,1158.1121
"97","Stanford",20,0.692,25,2676,29,1421.32648
"98","Syracuse",20,0.333,12,1938,16,493.35948
"99","TCU",25,0.769,18,2291,26,1356.516
"100","Temple",20,0.5,15,1632,12,626.74
"101","Tennessee",11,0.333,15,1409,14,360.3726
"102","Texas",16,0.5,22,1702,23,660.03
"103","Texas A&M",18,0.583,20,1908,24,859.13212
"104","Texas St.",15,0.167,9,1609,11,204.59838
"105","Texas Tech",32,0.5,27,1699,18,665.99
"106","Toledo",28,0.846,20,2834,32,1841.80968
"107","Troy",15,0.833,21,1807,27,1166.4499
"108","Tulane",12,0.417,19,2778,31,883.44786
"109","Tulsa",6,0.167,14,2967,36,376.3679
"110","UAB",16,0.667,19,2283,27,1168.34388
"111","UCF",36,1,29,2414,38,1888.68
"112","UCLA",29,0.5,12,1444,19,563.88
"113","UConn",18,0.25,11,1752,17,335.555
"114","UNLV",10,0.417,19,2882,29,913.83882
"115","Utah",18,0.5,23,1935,19,745.44
"116","Utah St.",17,0.5,26,2041,23,787.77
"117","UTEP",7,0,14,1147,9,0
"118","UTSA",15,0.545,22,2030,11,844.0088
"119","Vanderbilt",27,0.417,9,1286,14,417.2919
"120","Virginia",25,0.5,18,1186,10,464.35
"121","Virginia Tech",20,0.75,19,2006,17,1154.565
"122","Wake Forest",29,0.583,18,2210,20,991.81126
"123","Washington",18,0.833,21,2278,34,1465.54688
"124","Washington St.",35,0.75,27,860,8,527.205
"125","West Virginia",36,0.583,17,1925,18,870.87374
"126","Western Ky.",25,0.5,14,793,15,319.85
"127","Western Mich.",19,0.5,26,2697,26,1033.08
"128","Wisconsin",21,0.923,26,2979,28,2103.44316
"129","Wyoming",15,0.583,30,1293,13,590.47406
